,Steps,ACC,method
1031,120.4578313,0.23,bb
1032,120.4578313,0.25,bb
1033,120.4578313,0.26,bb
1034,120.4578313,0.23,bb
1035,140.5341365,0.26,bb
1036,140.5341365,0.27,bb
1037,140.5341365,0.23,bb
1038,140.5341365,0.22,bb
1039,140.5341365,0.22,bb
1040,160.6104418,0.24,bb
1041,160.6104418,0.23,bb
1042,160.6104418,0.26,bb
1043,160.6104418,0.25,bb
1044,160.6104418,0.23,bb
1045,180.686747,0.26,bb
1046,180.686747,0.27,bb
1047,180.686747,0.26,bb
1048,180.686747,0.21,bb
1049,180.686747,0.24,bb
1050,200.7630522,0.26,bb
1051,200.7630522,0.22,bb
1052,200.7630522,0.25,bb
1053,200.7630522,0.27,bb
1054,200.7630522,0.24,bb
1055,220.8393574,0.26,bb
1056,220.8393574,0.25,bb
1057,220.8393574,0.22,bb
1058,220.8393574,0.24,bb
1059,220.8393574,0.25,bb
1060,240.9156627,0.26,bb
1061,240.9156627,0.24,bb
1062,240.9156627,0.27,bb
1063,240.9156627,0.24,bb
1064,240.9156627,0.26,bb
1065,260.9919679,0.27,bb
1066,260.9919679,0.26,bb
1067,260.9919679,0.26,bb
1068,260.9919679,0.26,bb
1069,260.9919679,0.24,bb
1070,281.0682731,0.27,bb
1071,281.0682731,0.26,bb
1072,281.0682731,0.25,bb
1073,281.0682731,0.26,bb
1074,281.0682731,0.27,bb
1075,301.1445783,0.25,bb
1076,301.1445783,0.27,bb
1077,301.1445783,0.23,bb
1078,301.1445783,0.25,bb
1079,301.1445783,0.25,bb
1080,321.2208835,0.23,bb
1081,321.2208835,0.24,bb
1082,321.2208835,0.22,bb
1083,321.2208835,0.25,bb
1084,321.2208835,0.23,bb
1085,341.2971888,0.24,bb
1086,341.2971888,0.21,bb
1087,341.2971888,0.26,bb
1088,341.2971888,0.25,bb
1089,341.2971888,0.26,bb
1090,361.373494,0.27,bb
1091,361.373494,0.26,bb
1092,361.373494,0.25,bb
1093,361.373494,0.27,bb
1094,361.373494,0.22,bb
1095,381.4497992,0.22,bb
1096,381.4497992,0.26,bb
1097,381.4497992,0.27,bb
1098,381.4497992,0.23,bb
1099,381.4497992,0.25,bb
1100,401.5261044,0.24,bb
1101,401.5261044,0.27,bb
1102,401.5261044,0.23,bb
1103,401.5261044,0.27,bb
1104,401.5261044,0.25,bb
1105,421.6024096,0.22,bb
1106,421.6024096,0.25,bb
1107,421.6024096,0.26,bb
1108,421.6024096,0.22,bb
1109,421.6024096,0.26,bb
1110,441.6787149,0.26,bb
1111,441.6787149,0.25,bb
1112,441.6787149,0.24,bb
1113,441.6787149,0.24,bb
1114,441.6787149,0.26,bb
1115,461.7550201,0.27,bb
1116,461.7550201,0.26,bb
1117,461.7550201,0.26,bb
1118,461.7550201,0.25,bb
1119,461.7550201,0.27,bb
1120,481.8313253,0.24,bb
1121,481.8313253,0.26,bb
1122,481.8313253,0.26,bb
1123,481.8313253,0.24,bb
1124,481.8313253,0.24,bb
1125,501.9076305,0.27,bb
1126,501.9076305,0.26,bb
1127,501.9076305,0.27,bb
1128,501.9076305,0.23,bb
1129,501.9076305,0.26,bb
1130,521.9839357,0.26,bb
1131,521.9839357,0.25,bb
1132,521.9839357,0.26,bb
1133,521.9839357,0.26,bb
1134,521.9839357,0.26,bb
1135,542.060241,0.23,bb
1136,542.060241,0.25,bb
1137,542.060241,0.24,bb
1138,542.060241,0.23,bb
1139,542.060241,0.26,bb
1140,562.1365462,0.27,bb
1141,562.1365462,0.25,bb
1142,562.1365462,0.24,bb
1143,562.1365462,0.27,bb
1144,562.1365462,0.25,bb
1145,582.2128514,0.24,bb
1146,582.2128514,0.22,bb
1147,582.2128514,0.26,bb
1148,582.2128514,0.26,bb
1149,582.2128514,0.24,bb
1150,602.2891566,0.21,bb
1151,602.2891566,0.23,bb
1152,602.2891566,0.25,bb
1153,602.2891566,0.26,bb
1154,602.2891566,0.24,bb
1155,622.3654618,0.25,bb
1156,622.3654618,0.25,bb
1157,622.3654618,0.25,bb
1158,622.3654618,0.24,bb
1159,622.3654618,0.21,bb
1160,642.4417671,0.22,bb
1161,642.4417671,0.24,bb
1162,642.4417671,0.25,bb
1163,642.4417671,0.24,bb
1164,642.4417671,0.22,bb
1165,662.5180723,0.24,bb
1166,662.5180723,0.24,bb
1167,662.5180723,0.22,bb
1168,662.5180723,0.24,bb
1169,662.5180723,0.25,bb
1170,682.5943775,0.26,bb
1171,682.5943775,0.25,bb
1172,682.5943775,0.23,bb
1173,682.5943775,0.26,bb
1174,682.5943775,0.25,bb
1175,702.6706827,0.24,bb
1176,702.6706827,0.27,bb
1177,702.6706827,0.22,bb
1178,702.6706827,0.26,bb
1179,702.6706827,0.25,bb
1180,722.746988,0.25,bb
1181,722.746988,0.26,bb
1182,722.746988,0.25,bb
1183,722.746988,0.25,bb
1184,722.746988,0.25,bb
1185,742.8232932,0.26,bb
1186,742.8232932,0.23,bb
1187,742.8232932,0.24,bb
1188,742.8232932,0.26,bb
1189,742.8232932,0.27,bb
1190,762.8995984,0.27,bb
1191,762.8995984,0.23,bb
1192,762.8995984,0.27,bb
1193,762.8995984,0.22,bb
1194,762.8995984,0.22,bb
1195,782.9759036,0.25,bb
1196,782.9759036,0.24,bb
1197,782.9759036,0.24,bb
1198,782.9759036,0.24,bb
1199,782.9759036,0.26,bb
1200,803.0522088,0.26,bb
1201,803.0522088,0.27,bb
1202,803.0522088,0.26,bb
1203,803.0522088,0.26,bb
1204,803.0522088,0.2,bb
1205,823.1285141,0.25,bb
1206,823.1285141,0.24,bb
1207,823.1285141,0.26,bb
1208,823.1285141,0.24,bb
1209,823.1285141,0.22,bb
1210,843.2048193,0.26,bb
1211,843.2048193,0.25,bb
1212,843.2048193,0.25,bb
1213,843.2048193,0.21,bb
1214,843.2048193,0.24,bb
1215,863.2811245,0.22,bb
1216,863.2811245,0.24,bb
1217,863.2811245,0.2,bb
1218,863.2811245,0.23,bb
1219,863.2811245,0.24,bb
1220,883.3574297,0.25,bb
1221,883.3574297,0.25,bb
1222,883.3574297,0.27,bb
1223,883.3574297,0.25,bb
1224,883.3574297,0.24,bb
1225,903.4337349,0.24,bb
1226,903.4337349,0.26,bb
1227,903.4337349,0.24,bb
1228,903.4337349,0.22,bb
1229,903.4337349,0.26,bb
1230,923.5100402,0.22,bb
1231,923.5100402,0.26,bb
1232,923.5100402,0.26,bb
1233,923.5100402,0.27,bb
1234,923.5100402,0.22,bb
1235,943.5863454,0.25,bb
1236,943.5863454,0.27,bb
1237,943.5863454,0.24,bb
1238,943.5863454,0.24,bb
1239,943.5863454,0.25,bb
1240,963.6626506,0.24,bb
1241,963.6626506,0.27,bb
1242,963.6626506,0.25,bb
1243,963.6626506,0.26,bb
1244,963.6626506,0.22,bb
1245,983.7389558,0.25,bb
1246,983.7389558,0.26,bb
1247,983.7389558,0.26,bb
1248,983.7389558,0.25,bb
1249,983.7389558,0.26,bb
1250,1003.815261,0.27,bb
1251,1003.815261,0.26,bb
1252,1003.815261,0.26,bb
1253,1003.815261,0.23,bb
1254,1003.815261,0.24,bb
1255,1023.891566,0.24,bb
1256,1023.891566,0.26,bb
1257,1023.891566,0.24,bb
1258,1023.891566,0.25,bb
1259,1023.891566,0.27,bb
1260,1043.967871,0.23,bb
1261,1043.967871,0.26,bb
1262,1043.967871,0.24,bb
1263,1043.967871,0.23,bb
1264,1043.967871,0.26,bb
1265,1064.044177,0.22,bb
1266,1064.044177,0.24,bb
1267,1064.044177,0.23,bb
1268,1064.044177,0.24,bb
1269,1064.044177,0.25,bb
1270,1084.120482,0.21,bb
1271,1084.120482,0.22,bb
1272,1084.120482,0.24,bb
1273,1084.120482,0.23,bb
1274,1084.120482,0.26,bb
1275,1104.196787,0.26,bb
1276,1104.196787,0.27,bb
1277,1104.196787,0.25,bb
1278,1104.196787,0.26,bb
1279,1104.196787,0.21,bb
1280,1124.273092,0.27,bb
1281,1124.273092,0.26,bb
1282,1124.273092,0.23,bb
1283,1124.273092,0.27,bb
1284,1124.273092,0.26,bb
1285,1144.349398,0.24,bb
1286,1144.349398,0.24,bb
1287,1144.349398,0.23,bb
1288,1144.349398,0.24,bb
1289,1144.349398,0.22,bb
1290,1164.425703,0.23,bb
1291,1164.425703,0.24,bb
1292,1164.425703,0.26,bb
1293,1164.425703,0.25,bb
1294,1164.425703,0.27,bb
1295,1184.502008,0.27,bb
1296,1184.502008,0.27,bb
1297,1184.502008,0.27,bb
1298,1184.502008,0.23,bb
1299,1184.502008,0.27,bb
1300,1204.578313,0.21,bb
1301,1204.578313,0.24,bb
1302,1204.578313,0.22,bb
1303,1204.578313,0.23,bb
1304,1204.578313,0.23,bb
1305,1224.654618,0.27,bb
1306,1224.654618,0.25,bb
1307,1224.654618,0.24,bb
1308,1224.654618,0.25,bb
1309,1224.654618,0.26,bb
1310,1244.730924,0.27,bb
1311,1244.730924,0.26,bb
1312,1244.730924,0.23,bb
1313,1244.730924,0.24,bb
1314,1244.730924,0.23,bb
1315,1264.807229,0.26,bb
1316,1264.807229,0.24,bb
1317,1264.807229,0.26,bb
1318,1264.807229,0.24,bb
1319,1264.807229,0.27,bb
1320,1284.883534,0.23,bb
1321,1284.883534,0.27,bb
1322,1284.883534,0.26,bb
1323,1284.883534,0.26,bb
1324,1284.883534,0.24,bb
1325,1304.959839,0.26,bb
1326,1304.959839,0.27,bb
1327,1304.959839,0.23,bb
1328,1304.959839,0.23,bb
1329,1304.959839,0.21,bb
1330,1325.036145,0.23,bb
1331,1325.036145,0.26,bb
1332,1325.036145,0.22,bb
1333,1325.036145,0.22,bb
1334,1325.036145,0.24,bb
1335,1345.11245,0.24,bb
1336,1345.11245,0.26,bb
1337,1345.11245,0.25,bb
1338,1345.11245,0.22,bb
1339,1345.11245,0.25,bb
1340,1365.188755,0.26,bb
1341,1365.188755,0.23,bb
1342,1365.188755,0.21,bb
1343,1365.188755,0.25,bb
1344,1365.188755,0.25,bb
1345,1385.26506,0.22,bb
1346,1385.26506,0.24,bb
1347,1385.26506,0.23,bb
1348,1385.26506,0.26,bb
1349,1385.26506,0.26,bb
1350,1405.341365,0.25,bb
1351,1405.341365,0.27,bb
1352,1405.341365,0.25,bb
1353,1405.341365,0.25,bb
1354,1405.341365,0.25,bb
1355,1425.417671,0.26,bb
1356,1425.417671,0.23,bb
1357,1425.417671,0.26,bb
1358,1425.417671,0.26,bb
1359,1425.417671,0.26,bb
1360,1445.493976,0.25,bb
1361,1445.493976,0.23,bb
1362,1445.493976,0.25,bb
1363,1445.493976,0.27,bb
1364,1445.493976,0.26,bb
1365,1465.570281,0.23,bb
1366,1465.570281,0.25,bb
1367,1465.570281,0.23,bb
1368,1465.570281,0.22,bb
1369,1465.570281,0.22,bb
1370,1485.646586,0.25,bb
1371,1485.646586,0.27,bb
1372,1485.646586,0.24,bb
1373,1485.646586,0.26,bb
1374,1485.646586,0.25,bb
1375,1505.722892,0.24,bb
1376,1505.722892,0.27,bb
1377,1505.722892,0.27,bb
1378,1505.722892,0.24,bb
1379,1505.722892,0.27,bb
1380,1525.799197,0.23,bb
1381,1525.799197,0.22,bb
1382,1525.799197,0.26,bb
1383,1525.799197,0.27,bb
1384,1525.799197,0.24,bb
1385,1545.875502,0.27,bb
1386,1545.875502,0.26,bb
1387,1545.875502,0.21,bb
1388,1545.875502,0.27,bb
1389,1545.875502,0.23,bb
1390,1565.951807,0.27,bb
1391,1565.951807,0.25,bb
1392,1565.951807,0.26,bb
1393,1565.951807,0.24,bb
1394,1565.951807,0.27,bb
1395,1586.028112,0.27,bb
1396,1586.028112,0.27,bb
1397,1586.028112,0.22,bb
1398,1586.028112,0.26,bb
1399,1586.028112,0.25,bb
1400,1606.104418,0.26,bb
1401,1606.104418,0.24,bb
1402,1606.104418,0.26,bb
1403,1606.104418,0.25,bb
1404,1606.104418,0.23,bb
1405,1626.180723,0.26,bb
1406,1626.180723,0.25,bb
1407,1626.180723,0.24,bb
1408,1626.180723,0.27,bb
1409,1626.180723,0.25,bb
1410,1646.257028,0.27,bb
1411,1646.257028,0.22,bb
1412,1646.257028,0.23,bb
1413,1646.257028,0.23,bb
1414,1646.257028,0.24,bb
1415,1666.333333,0.25,bb
1416,1666.333333,0.24,bb
1417,1666.333333,0.23,bb
1418,1666.333333,0.23,bb
1419,1666.333333,0.22,bb
1420,1686.409639,0.25,bb
1421,1686.409639,0.24,bb
1422,1686.409639,0.24,bb
1423,1686.409639,0.24,bb
1424,1686.409639,0.24,bb
1425,1706.485944,0.24,bb
1426,1706.485944,0.22,bb
1427,1706.485944,0.27,bb
1428,1706.485944,0.25,bb
1429,1706.485944,0.23,bb
1430,1726.562249,0.25,bb
1431,1726.562249,0.26,bb
1432,1726.562249,0.26,bb
1433,1726.562249,0.27,bb
1434,1726.562249,0.27,bb
1435,1746.638554,0.23,bb
1436,1746.638554,0.26,bb
1437,1746.638554,0.25,bb
1438,1746.638554,0.26,bb
1439,1746.638554,0.27,bb
1440,1766.714859,0.23,bb
1441,1766.714859,0.25,bb
1442,1766.714859,0.26,bb
1443,1766.714859,0.24,bb
1444,1766.714859,0.25,bb
1445,1786.791165,0.27,bb
1446,1786.791165,0.24,bb
1447,1786.791165,0.24,bb
1448,1786.791165,0.26,bb
1449,1786.791165,0.24,bb
1450,1806.86747,0.25,bb
1451,1806.86747,0.26,bb
1452,1806.86747,0.22,bb
1453,1806.86747,0.24,bb
1454,1806.86747,0.26,bb
1455,1826.943775,0.24,bb
1456,1826.943775,0.25,bb
1457,1826.943775,0.22,bb
1458,1826.943775,0.27,bb
1459,1826.943775,0.27,bb
1460,1847.02008,0.23,bb
1461,1847.02008,0.25,bb
1462,1847.02008,0.25,bb
1463,1847.02008,0.2,bb
1464,1847.02008,0.24,bb
1465,1867.096386,0.25,bb
1466,1867.096386,0.26,bb
1467,1867.096386,0.25,bb
1468,1867.096386,0.21,bb
1469,1867.096386,0.23,bb
1470,1887.172691,0.22,bb
1471,1887.172691,0.26,bb
1472,1887.172691,0.27,bb
1473,1887.172691,0.26,bb
1474,1887.172691,0.25,bb
1475,1907.248996,0.25,bb
1476,1907.248996,0.23,bb
1477,1907.248996,0.27,bb
1478,1907.248996,0.26,bb
1479,1907.248996,0.24,bb
1480,1927.325301,0.26,bb
1481,1927.325301,0.22,bb
1482,1927.325301,0.25,bb
1483,1927.325301,0.22,bb
1484,1927.325301,0.26,bb
1485,1947.401606,0.25,bb
1486,1947.401606,0.24,bb
1487,1947.401606,0.26,bb
1488,1947.401606,0.24,bb
1489,1947.401606,0.27,bb
1490,1967.477912,0.27,bb
1491,1967.477912,0.27,bb
1492,1967.477912,0.26,bb
1493,1967.477912,0.23,bb
1494,1967.477912,0.22,bb
1495,1987.554217,0.22,bb
1496,1987.554217,0.25,bb
1497,1987.554217,0.27,bb
1498,1987.554217,0.23,bb
1499,1987.554217,0.26,bb
1500,2007.630522,0.24,bb
1501,2007.630522,0.27,bb
1502,2007.630522,0.25,bb
1503,2007.630522,0.24,bb
1504,2007.630522,0.25,bb
1505,2027.706827,0.26,bb
1506,2027.706827,0.23,bb
1507,2027.706827,0.27,bb
1508,2027.706827,0.24,bb
1509,2027.706827,0.27,bb
1510,2047.783133,0.23,bb
1511,2047.783133,0.24,bb
1512,2047.783133,0.27,bb
1513,2047.783133,0.25,bb
1514,2047.783133,0.23,bb
1515,2067.859438,0.24,bb
1516,2067.859438,0.25,bb
1517,2067.859438,0.25,bb
1518,2067.859438,0.25,bb
1519,2067.859438,0.27,bb
1520,2087.935743,0.27,bb
1521,2087.935743,0.27,bb
1522,2087.935743,0.21,bb
1523,2087.935743,0.26,bb
1524,2087.935743,0.27,bb
1525,2108.012048,0.27,bb
1526,2108.012048,0.25,bb
1527,2108.012048,0.24,bb
1528,2108.012048,0.24,bb
1529,2108.012048,0.23,bb
1530,2128.088353,0.23,bb
1531,2128.088353,0.23,bb
1532,2128.088353,0.25,bb
1533,2128.088353,0.26,bb
1534,2128.088353,0.26,bb
1535,2148.164659,0.22,bb
1536,2148.164659,0.26,bb
1537,2148.164659,0.26,bb
1538,2148.164659,0.25,bb
1539,2148.164659,0.26,bb
1540,2168.240964,0.25,bb
1541,2168.240964,0.27,bb
1542,2168.240964,0.24,bb
1543,2168.240964,0.22,bb
1544,2168.240964,0.26,bb
1545,2188.317269,0.23,bb
1546,2188.317269,0.26,bb
1547,2188.317269,0.2,bb
1548,2188.317269,0.25,bb
1549,2188.317269,0.21,bb
1550,2208.393574,0.25,bb
1551,2208.393574,0.25,bb
1552,2208.393574,0.22,bb
1553,2208.393574,0.25,bb
1554,2208.393574,0.25,bb
1555,2228.46988,0.27,bb
1556,2228.46988,0.23,bb
1557,2228.46988,0.26,bb
1558,2228.46988,0.26,bb
1559,2228.46988,0.24,bb
1560,2248.546185,0.22,bb
1561,2248.546185,0.22,bb
1562,2248.546185,0.25,bb
1563,2248.546185,0.27,bb
1564,2248.546185,0.27,bb
1565,2268.62249,0.22,bb
1566,2268.62249,0.26,bb
1567,2268.62249,0.27,bb
1568,2268.62249,0.27,bb
1569,2268.62249,0.25,bb
1570,2288.698795,0.24,bb
1571,2288.698795,0.22,bb
1572,2288.698795,0.27,bb
1573,2288.698795,0.25,bb
1574,2288.698795,0.24,bb
1575,2308.7751,0.24,bb
1576,2308.7751,0.27,bb
1577,2308.7751,0.21,bb
1578,2308.7751,0.27,bb
1579,2308.7751,0.25,bb
1580,2328.851406,0.23,bb
1581,2328.851406,0.24,bb
1582,2328.851406,0.25,bb
1583,2328.851406,0.27,bb
1584,2328.851406,0.26,bb
1585,2348.927711,0.24,bb
1586,2348.927711,0.26,bb
1587,2348.927711,0.26,bb
1588,2348.927711,0.25,bb
1589,2348.927711,0.25,bb
1590,2369.004016,0.23,bb
1591,2369.004016,0.27,bb
1592,2369.004016,0.25,bb
1593,2369.004016,0.25,bb
1594,2369.004016,0.25,bb
1595,2389.080321,0.27,bb
1596,2389.080321,0.25,bb
1597,2389.080321,0.23,bb
1598,2389.080321,0.24,bb
1599,2389.080321,0.23,bb
1600,2409.156627,0.27,bb
1601,2409.156627,0.25,bb
1602,2409.156627,0.27,bb
1603,2409.156627,0.23,bb
1604,2409.156627,0.23,bb
1605,2429.232932,0.27,bb
1606,2429.232932,0.22,bb
1607,2429.232932,0.25,bb
1608,2429.232932,0.26,bb
1609,2429.232932,0.25,bb
1610,2449.309237,0.24,bb
1611,2449.309237,0.23,bb
1612,2449.309237,0.22,bb
1613,2449.309237,0.22,bb
1614,2449.309237,0.24,bb
1615,2469.385542,0.25,bb
1616,2469.385542,0.24,bb
1617,2469.385542,0.25,bb
1618,2469.385542,0.26,bb
1619,2469.385542,0.26,bb
1620,2489.461847,0.25,bb
1621,2489.461847,0.26,bb
1622,2489.461847,0.26,bb
1623,2489.461847,0.26,bb
1624,2489.461847,0.23,bb
1625,2509.538153,0.27,bb
1626,2509.538153,0.27,bb
1627,2509.538153,0.27,bb
1628,2509.538153,0.26,bb
1629,2509.538153,0.26,bb
1630,2529.614458,0.26,bb
1631,2529.614458,0.27,bb
1632,2529.614458,0.24,bb
1633,2529.614458,0.25,bb
1634,2529.614458,0.26,bb
1635,2549.690763,0.26,bb
1636,2549.690763,0.24,bb
1637,2549.690763,0.24,bb
1638,2549.690763,0.23,bb
1639,2549.690763,0.23,bb
1640,2569.767068,0.26,bb
1641,2569.767068,0.26,bb
1642,2569.767068,0.25,bb
1643,2569.767068,0.26,bb
1644,2569.767068,0.21,bb
1645,2589.843373,0.25,bb
1646,2589.843373,0.26,bb
1647,2589.843373,0.27,bb
1648,2589.843373,0.26,bb
1649,2589.843373,0.23,bb
1650,2609.919679,0.27,bb
1651,2609.919679,0.23,bb
1652,2609.919679,0.22,bb
1653,2609.919679,0.25,bb
1654,2609.919679,0.24,bb
1655,2629.995984,0.26,bb
1656,2629.995984,0.26,bb
1657,2629.995984,0.27,bb
1658,2629.995984,0.25,bb
1659,2629.995984,0.23,bb
1660,2650.072289,0.27,bb
1661,2650.072289,0.26,bb
1662,2650.072289,0.27,bb
1663,2650.072289,0.25,bb
1664,2650.072289,0.27,bb
1665,2670.148594,0.26,bb
1666,2670.148594,0.23,bb
1667,2670.148594,0.21,bb
1668,2670.148594,0.26,bb
1669,2670.148594,0.26,bb
1670,2690.2249,0.25,bb
1671,2690.2249,0.26,bb
1672,2690.2249,0.24,bb
1673,2690.2249,0.26,bb
1674,2690.2249,0.25,bb
1675,2710.301205,0.26,bb
1676,2710.301205,0.25,bb
1677,2710.301205,0.25,bb
1678,2710.301205,0.26,bb
1679,2710.301205,0.27,bb
1680,2730.37751,0.23,bb
1681,2730.37751,0.25,bb
1682,2730.37751,0.25,bb
1683,2730.37751,0.24,bb
1684,2730.37751,0.23,bb
1685,2750.453815,0.25,bb
1686,2750.453815,0.24,bb
1687,2750.453815,0.27,bb
1688,2750.453815,0.22,bb
1689,2750.453815,0.25,bb
1690,2770.53012,0.24,bb
1691,2770.53012,0.27,bb
1692,2770.53012,0.26,bb
1693,2770.53012,0.23,bb
1694,2770.53012,0.23,bb
1695,2790.606426,0.27,bb
1696,2790.606426,0.22,bb
1697,2790.606426,0.26,bb
1698,2790.606426,0.23,bb
1699,2790.606426,0.23,bb
1700,2810.682731,0.21,bb
1701,2810.682731,0.27,bb
1702,2810.682731,0.26,bb
1703,2810.682731,0.27,bb
1704,2810.682731,0.25,bb
1705,2830.759036,0.22,bb
1706,2830.759036,0.27,bb
1707,2830.759036,0.26,bb
1708,2830.759036,0.27,bb
1709,2830.759036,0.26,bb
1710,2850.835341,0.25,bb
1711,2850.835341,0.24,bb
1712,2850.835341,0.26,bb
1713,2850.835341,0.22,bb
1714,2850.835341,0.22,bb
1715,2870.911647,0.23,bb
1716,2870.911647,0.24,bb
1717,2870.911647,0.26,bb
1718,2870.911647,0.21,bb
1719,2870.911647,0.27,bb
1720,2890.987952,0.22,bb
1721,2890.987952,0.22,bb
1722,2890.987952,0.23,bb
1723,2890.987952,0.27,bb
1724,2890.987952,0.26,bb
1725,2911.064257,0.24,bb
1726,2911.064257,0.23,bb
1727,2911.064257,0.23,bb
1728,2911.064257,0.26,bb
1729,2911.064257,0.26,bb
1730,2931.140562,0.22,bb
1731,2931.140562,0.26,bb
1732,2931.140562,0.24,bb
1733,2931.140562,0.23,bb
1734,2931.140562,0.23,bb
1735,2951.216867,0.26,bb
1736,2951.216867,0.25,bb
1737,2951.216867,0.27,bb
1738,2951.216867,0.23,bb
1739,2951.216867,0.25,bb
1740,2971.293173,0.26,bb
1741,2971.293173,0.27,bb
1742,2971.293173,0.24,bb
1743,2971.293173,0.25,bb
1744,2971.293173,0.26,bb
1745,2991.369478,0.22,bb
1746,2991.369478,0.23,bb
1747,2991.369478,0.24,bb
1748,2991.369478,0.23,bb
1749,2991.369478,0.27,bb
1750,3011.445783,0.27,bb
1751,3011.445783,0.27,bb
1752,3011.445783,0.25,bb
1753,3011.445783,0.25,bb
1754,3011.445783,0.24,bb
1755,3031.522088,0.25,bb
1756,3031.522088,0.25,bb
1757,3031.522088,0.25,bb
1758,3031.522088,0.25,bb
1759,3031.522088,0.25,bb
1760,3051.598394,0.22,bb
1761,3051.598394,0.24,bb
1762,3051.598394,0.23,bb
1763,3051.598394,0.21,bb
1764,3051.598394,0.22,bb
1765,3071.674699,0.24,bb
1766,3071.674699,0.25,bb
1767,3071.674699,0.26,bb
1768,3071.674699,0.27,bb
1769,3071.674699,0.24,bb
1770,3091.751004,0.24,bb
1771,3091.751004,0.26,bb
1772,3091.751004,0.23,bb
1773,3091.751004,0.26,bb
1774,3091.751004,0.26,bb
1775,3111.827309,0.23,bb
1776,3111.827309,0.26,bb
1777,3111.827309,0.26,bb
1778,3111.827309,0.26,bb
1779,3111.827309,0.25,bb
1780,3131.903614,0.26,bb
1781,3131.903614,0.26,bb
1782,3131.903614,0.21,bb
1783,3131.903614,0.25,bb
1784,3131.903614,0.26,bb
1785,3151.97992,0.27,bb
1786,3151.97992,0.26,bb
1787,3151.97992,0.26,bb
1788,3151.97992,0.26,bb
1789,3151.97992,0.25,bb
1790,3172.056225,0.23,bb
1791,3172.056225,0.26,bb
1792,3172.056225,0.23,bb
1793,3172.056225,0.22,bb
1794,3172.056225,0.25,bb
1795,3192.13253,0.24,bb
1796,3192.13253,0.26,bb
1797,3192.13253,0.24,bb
1798,3192.13253,0.23,bb
1799,3192.13253,0.24,bb
1800,3212.208835,0.25,bb
1801,3212.208835,0.22,bb
1802,3212.208835,0.26,bb
1803,3212.208835,0.26,bb
1804,3212.208835,0.24,bb
1805,3232.285141,0.25,bb
1806,3232.285141,0.24,bb
1807,3232.285141,0.27,bb
1808,3232.285141,0.26,bb
1809,3232.285141,0.25,bb
1810,3252.361446,0.25,bb
1811,3252.361446,0.24,bb
1812,3252.361446,0.22,bb
1813,3252.361446,0.27,bb
1814,3252.361446,0.27,bb
1815,3272.437751,0.22,bb
1816,3272.437751,0.26,bb
1817,3272.437751,0.26,bb
1818,3272.437751,0.25,bb
1819,3272.437751,0.24,bb
1820,3292.514056,0.24,bb
1821,3292.514056,0.26,bb
1822,3292.514056,0.26,bb
1823,3292.514056,0.27,bb
1824,3292.514056,0.25,bb
1825,3312.590361,0.27,bb
1826,3312.590361,0.25,bb
1827,3312.590361,0.22,bb
1828,3312.590361,0.23,bb
1829,3312.590361,0.22,bb
1830,3332.666667,0.26,bb
1831,3332.666667,0.23,bb
1832,3332.666667,0.25,bb
1833,3332.666667,0.26,bb
1834,3332.666667,0.26,bb
1835,3352.742972,0.26,bb
1836,3352.742972,0.25,bb
1837,3352.742972,0.26,bb
1838,3352.742972,0.23,bb
1839,3352.742972,0.25,bb
1840,3372.819277,0.24,bb
1841,3372.819277,0.24,bb
1842,3372.819277,0.26,bb
1843,3372.819277,0.21,bb
1844,3372.819277,0.24,bb
1845,3392.895582,0.26,bb
1846,3392.895582,0.26,bb
1847,3392.895582,0.21,bb
1848,3392.895582,0.21,bb
1849,3392.895582,0.26,bb
1850,3412.971888,0.26,bb
1851,3412.971888,0.25,bb
1852,3412.971888,0.26,bb
1853,3412.971888,0.26,bb
1854,3412.971888,0.26,bb
1855,3433.048193,0.24,bb
1856,3433.048193,0.26,bb
1857,3433.048193,0.26,bb
1858,3433.048193,0.22,bb
1859,3433.048193,0.26,bb
1860,3453.124498,0.27,bb
1861,3453.124498,0.23,bb
1862,3453.124498,0.26,bb
1863,3453.124498,0.25,bb
1864,3453.124498,0.24,bb
1865,3473.200803,0.25,bb
1866,3473.200803,0.22,bb
1867,3473.200803,0.23,bb
1868,3473.200803,0.22,bb
1869,3473.200803,0.22,bb
1870,3493.277108,0.25,bb
1871,3493.277108,0.26,bb
1872,3493.277108,0.22,bb
1873,3493.277108,0.27,bb
1874,3493.277108,0.25,bb
1875,3513.353414,0.23,bb
1876,3513.353414,0.23,bb
1877,3513.353414,0.27,bb
1878,3513.353414,0.24,bb
1879,3513.353414,0.27,bb
1880,3533.429719,0.27,bb
1881,3533.429719,0.26,bb
1882,3533.429719,0.26,bb
1883,3533.429719,0.23,bb
1884,3533.429719,0.26,bb
1885,3553.506024,0.27,bb
1886,3553.506024,0.27,bb
1887,3553.506024,0.26,bb
1888,3553.506024,0.24,bb
1889,3553.506024,0.27,bb
1890,3573.582329,0.26,bb
1891,3573.582329,0.27,bb
1892,3573.582329,0.26,bb
1893,3573.582329,0.22,bb
1894,3573.582329,0.25,bb
1895,3593.658635,0.22,bb
1896,3593.658635,0.26,bb
1897,3593.658635,0.27,bb
1898,3593.658635,0.27,bb
1899,3593.658635,0.25,bb
1900,3613.73494,0.23,bb
1901,3613.73494,0.22,bb
1902,3613.73494,0.23,bb
1903,3613.73494,0.26,bb
1904,3613.73494,0.24,bb
1905,3633.811245,0.26,bb
