,Steps,ACC,method
187,1120.838384,0.71,direct
188,1120.838384,0.7,direct
189,1120.838384,0.79,direct
190,1151.131313,0.8,direct
191,1151.131313,0.67,direct
192,1151.131313,0.58,direct
193,1151.131313,0.59,direct
194,1151.131313,0.7,direct
195,1181.424242,0.67,direct
196,1181.424242,0.6,direct
197,1181.424242,0.54,direct
198,1181.424242,0.82,direct
199,1181.424242,0.78,direct
200,1211.717172,0.76,direct
201,1211.717172,0.76,direct
202,1211.717172,0.78,direct
203,1211.717172,0.73,direct
204,1211.717172,0.81,direct
205,1242.010101,0.67,direct
206,1242.010101,0.67,direct
207,1242.010101,0.84,direct
208,1242.010101,0.78,direct
209,1242.010101,0.7,direct
210,1272.30303,0.78,direct
211,1272.30303,0.61,direct
212,1272.30303,0.72,direct
213,1272.30303,0.49,direct
214,1272.30303,0.66,direct
215,1302.59596,0.69,direct
216,1302.59596,0.79,direct
217,1302.59596,0.63,direct
218,1302.59596,0.83,direct
219,1302.59596,0.77,direct
220,1332.888889,0.56,direct
221,1332.888889,0.84,direct
222,1332.888889,0.76,direct
223,1332.888889,0.68,direct
224,1332.888889,0.69,direct
225,1363.181818,0.71,direct
226,1363.181818,0.68,direct
227,1363.181818,0.67,direct
228,1363.181818,0.77,direct
229,1363.181818,0.81,direct
230,1393.474747,0.72,direct
231,1393.474747,0.82,direct
232,1393.474747,0.68,direct
233,1393.474747,0.59,direct
234,1393.474747,0.79,direct
235,1423.767677,0.83,direct
236,1423.767677,0.84,direct
237,1423.767677,0.56,direct
238,1423.767677,0.82,direct
239,1423.767677,0.83,direct
240,1454.060606,0.72,direct
241,1454.060606,0.73,direct
242,1454.060606,0.63,direct
243,1454.060606,0.78,direct
244,1454.060606,0.73,direct
245,1484.353535,0.84,direct
246,1484.353535,0.6,direct
247,1484.353535,0.65,direct
248,1484.353535,0.58,direct
249,1484.353535,0.68,direct
250,1514.646465,0.78,direct
251,1514.646465,0.52,direct
252,1514.646465,0.5,direct
253,1514.646465,0.82,direct
254,1514.646465,0.84,direct
255,1544.939394,0.81,direct
256,1544.939394,0.56,direct
257,1544.939394,0.51,direct
258,1544.939394,0.64,direct
259,1544.939394,0.75,direct
260,1575.232323,0.76,direct
261,1575.232323,0.63,direct
262,1575.232323,0.82,direct
263,1575.232323,0.82,direct
264,1575.232323,0.82,direct
265,1605.525253,0.79,direct
266,1605.525253,0.51,direct
267,1605.525253,0.83,direct
268,1605.525253,0.7,direct
269,1605.525253,0.71,direct
270,1635.818182,0.71,direct
271,1635.818182,0.74,direct
272,1635.818182,0.78,direct
273,1635.818182,0.68,direct
274,1635.818182,0.6,direct
275,1666.111111,0.78,direct
276,1666.111111,0.72,direct
277,1666.111111,0.75,direct
278,1666.111111,0.58,direct
279,1666.111111,0.71,direct
280,1696.40404,0.69,direct
281,1696.40404,0.61,direct
282,1696.40404,0.55,direct
283,1696.40404,0.78,direct
284,1696.40404,0.61,direct
285,1726.69697,0.72,direct
286,1726.69697,0.61,direct
287,1726.69697,0.72,direct
288,1726.69697,0.73,direct
289,1726.69697,0.72,direct
290,1756.989899,0.7,direct
291,1756.989899,0.77,direct
292,1756.989899,0.58,direct
293,1756.989899,0.82,direct
294,1756.989899,0.64,direct
295,1787.282828,0.54,direct
296,1787.282828,0.68,direct
297,1787.282828,0.82,direct
298,1787.282828,0.74,direct
299,1787.282828,0.67,direct
300,1817.575758,0.71,direct
301,1817.575758,0.72,direct
302,1817.575758,0.84,direct
303,1817.575758,0.84,direct
304,1817.575758,0.8,direct
305,1847.868687,0.66,direct
306,1847.868687,0.64,direct
307,1847.868687,0.81,direct
308,1847.868687,0.82,direct
