,time,signal
0,0.0,0.23
1,0.0,0.24
2,0.0,0.25
3,0.0,0.22
4,0.0,0.22
5,20.076305220883533,0.21
6,20.076305220883533,0.24
7,20.076305220883533,0.27
8,20.076305220883533,0.25
9,20.076305220883533,0.26
10,40.15261044176707,0.24
11,40.15261044176707,0.24
12,40.15261044176707,0.26
13,40.15261044176707,0.27
14,40.15261044176707,0.27
15,60.2289156626506,0.25
16,60.2289156626506,0.25
17,60.2289156626506,0.25
18,60.2289156626506,0.21
19,60.2289156626506,0.23
20,80.30522088353413,0.23
21,80.30522088353413,0.22
22,80.30522088353413,0.21
23,80.30522088353413,0.25
24,80.30522088353413,0.24
25,100.38152610441767,0.25
26,100.38152610441767,0.25
27,100.38152610441767,0.26
28,100.38152610441767,0.24
29,100.38152610441767,0.2
30,120.4578313253012,0.24
31,120.4578313253012,0.23
32,120.4578313253012,0.25
33,120.4578313253012,0.26
34,120.4578313253012,0.23
35,140.53413654618473,0.26
36,140.53413654618473,0.27
37,140.53413654618473,0.23
38,140.53413654618473,0.22
39,140.53413654618473,0.22
40,160.61044176706827,0.24
41,160.61044176706827,0.23
42,160.61044176706827,0.26
43,160.61044176706827,0.25
44,160.61044176706827,0.23
45,180.6867469879518,0.26
46,180.6867469879518,0.27
47,180.6867469879518,0.26
48,180.6867469879518,0.21
49,180.6867469879518,0.24
50,200.76305220883535,0.26
51,200.76305220883535,0.22
52,200.76305220883535,0.25
53,200.76305220883535,0.27
54,200.76305220883535,0.24
55,220.83935742971886,0.26
56,220.83935742971886,0.25
57,220.83935742971886,0.22
58,220.83935742971886,0.24
59,220.83935742971886,0.25
60,240.9156626506024,0.26
61,240.9156626506024,0.24
62,240.9156626506024,0.27
63,240.9156626506024,0.24
64,240.9156626506024,0.26
65,260.99196787148594,0.27
66,260.99196787148594,0.26
67,260.99196787148594,0.26
68,260.99196787148594,0.26
69,260.99196787148594,0.24
70,281.06827309236945,0.27
71,281.06827309236945,0.26
72,281.06827309236945,0.25
73,281.06827309236945,0.26
74,281.06827309236945,0.27
75,301.144578313253,0.25
76,301.144578313253,0.27
77,301.144578313253,0.23
78,301.144578313253,0.25
79,301.144578313253,0.25
80,321.22088353413653,0.23
81,321.22088353413653,0.24
82,321.22088353413653,0.22
83,321.22088353413653,0.25
84,321.22088353413653,0.23
85,341.29718875502004,0.24
86,341.29718875502004,0.21
87,341.29718875502004,0.26
88,341.29718875502004,0.25
89,341.29718875502004,0.26
90,361.3734939759036,0.27
91,361.3734939759036,0.26
92,361.3734939759036,0.25
93,361.3734939759036,0.27
94,361.3734939759036,0.22
95,381.4497991967871,0.22
96,381.4497991967871,0.26
97,381.4497991967871,0.27
98,381.4497991967871,0.23
99,381.4497991967871,0.25
100,401.5261044176707,0.24
101,401.5261044176707,0.27
102,401.5261044176707,0.23
103,401.5261044176707,0.27
104,401.5261044176707,0.25
105,421.6024096385542,0.22
106,421.6024096385542,0.25
107,421.6024096385542,0.26
108,421.6024096385542,0.22
109,421.6024096385542,0.26
110,441.6787148594377,0.26
111,441.6787148594377,0.25
112,441.6787148594377,0.24
113,441.6787148594377,0.24
114,441.6787148594377,0.26
115,461.7550200803213,0.27
116,461.7550200803213,0.26
117,461.7550200803213,0.26
118,461.7550200803213,0.25
119,461.7550200803213,0.27
120,481.8313253012048,0.24
121,481.8313253012048,0.26
122,481.8313253012048,0.26
123,481.8313253012048,0.24
124,481.8313253012048,0.24
125,501.9076305220883,0.27
126,501.9076305220883,0.26
127,501.9076305220883,0.27
128,501.9076305220883,0.23
129,501.9076305220883,0.26
130,521.9839357429719,0.26
131,521.9839357429719,0.25
132,521.9839357429719,0.26
133,521.9839357429719,0.26
134,521.9839357429719,0.26
135,542.0602409638554,0.23
136,542.0602409638554,0.25
137,542.0602409638554,0.24
138,542.0602409638554,0.23
139,542.0602409638554,0.26
140,562.1365461847389,0.27
141,562.1365461847389,0.25
142,562.1365461847389,0.24
143,562.1365461847389,0.27
144,562.1365461847389,0.25
145,582.2128514056225,0.24
146,582.2128514056225,0.22
147,582.2128514056225,0.26
148,582.2128514056225,0.26
149,582.2128514056225,0.24
150,602.289156626506,0.21
151,602.289156626506,0.23
152,602.289156626506,0.25
153,602.289156626506,0.26
154,602.289156626506,0.24
155,622.3654618473895,0.25
156,622.3654618473895,0.25
157,622.3654618473895,0.25
158,622.3654618473895,0.24
159,622.3654618473895,0.21
160,642.4417670682731,0.22
161,642.4417670682731,0.24
162,642.4417670682731,0.25
163,642.4417670682731,0.24
164,642.4417670682731,0.22
165,662.5180722891566,0.24
166,662.5180722891566,0.24
167,662.5180722891566,0.22
168,662.5180722891566,0.24
169,662.5180722891566,0.25
170,682.5943775100401,0.26
171,682.5943775100401,0.25
172,682.5943775100401,0.23
173,682.5943775100401,0.26
174,682.5943775100401,0.25
175,702.6706827309237,0.24
176,702.6706827309237,0.27
177,702.6706827309237,0.22
178,702.6706827309237,0.26
179,702.6706827309237,0.25
180,722.7469879518072,0.25
181,722.7469879518072,0.26
182,722.7469879518072,0.25
183,722.7469879518072,0.25
184,722.7469879518072,0.25
185,742.8232931726907,0.26
186,742.8232931726907,0.23
187,742.8232931726907,0.24
188,742.8232931726907,0.26
189,742.8232931726907,0.27
190,762.8995983935743,0.27
191,762.8995983935743,0.23
192,762.8995983935743,0.27
193,762.8995983935743,0.22
194,762.8995983935743,0.22
195,782.9759036144578,0.25
196,782.9759036144578,0.24
197,782.9759036144578,0.24
198,782.9759036144578,0.24
199,782.9759036144578,0.26
200,803.0522088353414,0.26
201,803.0522088353414,0.27
202,803.0522088353414,0.26
203,803.0522088353414,0.26
204,803.0522088353414,0.2
205,823.1285140562248,0.25
206,823.1285140562248,0.24
207,823.1285140562248,0.26
208,823.1285140562248,0.24
209,823.1285140562248,0.22
210,843.2048192771084,0.26
211,843.2048192771084,0.25
212,843.2048192771084,0.25
213,843.2048192771084,0.21
214,843.2048192771084,0.24
215,863.281124497992,0.22
216,863.281124497992,0.24
217,863.281124497992,0.2
218,863.281124497992,0.23
219,863.281124497992,0.24
220,883.3574297188754,0.25
221,883.3574297188754,0.25
222,883.3574297188754,0.27
223,883.3574297188754,0.25
224,883.3574297188754,0.24
225,903.433734939759,0.24
226,903.433734939759,0.26
227,903.433734939759,0.24
228,903.433734939759,0.22
229,903.433734939759,0.26
230,923.5100401606426,0.22
231,923.5100401606426,0.26
232,923.5100401606426,0.26
233,923.5100401606426,0.27
234,923.5100401606426,0.22
235,943.586345381526,0.25
236,943.586345381526,0.27
237,943.586345381526,0.24
238,943.586345381526,0.24
239,943.586345381526,0.25
240,963.6626506024096,0.24
241,963.6626506024096,0.27
242,963.6626506024096,0.25
243,963.6626506024096,0.26
244,963.6626506024096,0.22
245,983.7389558232932,0.25
246,983.7389558232932,0.26
247,983.7389558232932,0.26
248,983.7389558232932,0.25
249,983.7389558232932,0.26
250,1003.8152610441766,0.27
251,1003.8152610441766,0.26
252,1003.8152610441766,0.26
253,1003.8152610441766,0.23
254,1003.8152610441766,0.24
255,1023.8915662650602,0.24
256,1023.8915662650602,0.26
257,1023.8915662650602,0.24
