,time,signal
81,321.22088353413653,0.28
82,321.22088353413653,0.41
83,321.22088353413653,0.11
84,321.22088353413653,0.22
85,341.29718875502004,0.44
86,341.29718875502004,0.21
87,341.29718875502004,0.14
88,341.29718875502004,0.02
89,341.29718875502004,0.08
90,361.3734939759036,0.2
91,361.3734939759036,0.04
92,361.3734939759036,0.18
93,361.3734939759036,0.24
94,361.3734939759036,0.27
95,381.4497991967871,0.16
96,381.4497991967871,0.04
97,381.4497991967871,0.33
98,381.4497991967871,0.14
99,381.4497991967871,0.01
100,401.5261044176707,0.28
101,401.5261044176707,0.42
102,401.5261044176707,0.15
103,401.5261044176707,0.24
104,401.5261044176707,0.16
105,421.6024096385542,0.28
106,421.6024096385542,0.06
107,421.6024096385542,0.35
108,421.6024096385542,0.04
109,421.6024096385542,0.01
110,441.6787148594377,0.34
111,441.6787148594377,0.43
112,441.6787148594377,0.33
113,441.6787148594377,0.14
114,441.6787148594377,0.29
115,461.7550200803213,0.41
116,461.7550200803213,0.22
117,461.7550200803213,0.31
118,461.7550200803213,0.21
119,461.7550200803213,0.25
120,481.8313253012048,0.4
121,481.8313253012048,0.3
122,481.8313253012048,0.26
123,481.8313253012048,0.41
124,481.8313253012048,0.0
125,501.9076305220883,0.3
126,501.9076305220883,0.32
127,501.9076305220883,0.07
128,501.9076305220883,0.29
129,501.9076305220883,0.34
130,521.9839357429719,0.4
131,521.9839357429719,0.04
132,521.9839357429719,0.36
133,521.9839357429719,0.41
134,521.9839357429719,0.38
135,542.0602409638554,0.4
136,542.0602409638554,0.39
137,542.0602409638554,0.35
138,542.0602409638554,0.38
139,542.0602409638554,0.25
140,562.1365461847389,0.11
141,562.1365461847389,0.01
142,562.1365461847389,0.38
143,562.1365461847389,0.36
144,562.1365461847389,0.16
145,582.2128514056225,0.42
146,582.2128514056225,0.37
147,582.2128514056225,0.27
148,582.2128514056225,0.4
149,582.2128514056225,0.4
150,602.289156626506,0.44
151,602.289156626506,0.37
152,602.289156626506,0.29
153,602.289156626506,0.26
154,602.289156626506,0.14
155,622.3654618473895,0.39
156,622.3654618473895,0.08
157,622.3654618473895,0.16
158,622.3654618473895,0.41
159,622.3654618473895,0.37
160,642.4417670682731,0.28
161,642.4417670682731,0.36
162,642.4417670682731,0.24
163,642.4417670682731,0.38
164,642.4417670682731,0.02
165,662.5180722891566,0.39
166,662.5180722891566,0.17
167,662.5180722891566,0.11
168,662.5180722891566,0.18
169,662.5180722891566,0.34
170,682.5943775100401,0.03
171,682.5943775100401,0.1
172,682.5943775100401,0.04
173,682.5943775100401,0.07
174,682.5943775100401,0.28
175,702.6706827309237,0.27
176,702.6706827309237,0.42
177,702.6706827309237,0.04
178,702.6706827309237,0.15
179,702.6706827309237,0.02
180,722.7469879518072,0.32
181,722.7469879518072,0.24
182,722.7469879518072,0.29
183,722.7469879518072,0.09
184,722.7469879518072,0.24
185,742.8232931726907,0.09
186,742.8232931726907,0.24
187,742.8232931726907,0.36
188,742.8232931726907,0.32
189,742.8232931726907,0.35
190,762.8995983935743,0.16
191,762.8995983935743,0.45
192,762.8995983935743,0.12
193,762.8995983935743,0.24
194,762.8995983935743,0.44
195,782.9759036144578,0.35
196,782.9759036144578,0.02
197,782.9759036144578,0.38
198,782.9759036144578,0.03
199,782.9759036144578,0.42
200,803.0522088353414,0.39
201,803.0522088353414,0.16
202,803.0522088353414,0.29
203,803.0522088353414,0.43
204,803.0522088353414,0.44
205,823.1285140562248,0.01
206,823.1285140562248,0.39
207,823.1285140562248,0.32
208,823.1285140562248,0.1
209,823.1285140562248,0.17
210,843.2048192771084,0.15
211,843.2048192771084,0.23
212,843.2048192771084,0.44
213,843.2048192771084,0.33
214,843.2048192771084,0.25
215,863.281124497992,0.4
216,863.281124497992,0.23
217,863.281124497992,0.28
218,863.281124497992,0.41
219,863.281124497992,0.39
220,883.3574297188754,0.2
221,883.3574297188754,0.27
222,883.3574297188754,0.12
223,883.3574297188754,0.01
224,883.3574297188754,0.02
225,903.433734939759,0.4
226,903.433734939759,0.37
227,903.433734939759,0.18
228,903.433734939759,0.32
229,903.433734939759,0.41
230,923.5100401606426,0.36
231,923.5100401606426,0.36
232,923.5100401606426,0.41
233,923.5100401606426,0.26
234,923.5100401606426,0.42
235,943.586345381526,0.12
236,943.586345381526,0.25
237,943.586345381526,0.07
238,943.586345381526,0.15
239,943.586345381526,0.33
240,963.6626506024096,0.3
241,963.6626506024096,0.39
242,963.6626506024096,0.09
243,963.6626506024096,0.45
244,963.6626506024096,0.38
245,983.7389558232932,0.37
246,983.7389558232932,0.06
247,983.7389558232932,0.1
248,983.7389558232932,0.22
249,983.7389558232932,0.03
250,1003.8152610441766,0.32
251,1003.8152610441766,0.38
252,1003.8152610441766,0.44
253,1003.8152610441766,0.39
254,1003.8152610441766,0.26
255,1023.8915662650602,0.06
256,1023.8915662650602,0.21
257,1023.8915662650602,0.29
258,1023.8915662650602,0.29
259,1023.8915662650602,0.44
260,1043.9678714859438,0.29
261,1043.9678714859438,0.34
262,1043.9678714859438,0.39
263,1043.9678714859438,0.34
264,1043.9678714859438,0.21
265,1064.0441767068273,0.26
266,1064.0441767068273,0.17
267,1064.0441767068273,0.44
268,1064.0441767068273,0.34
269,1064.0441767068273,0.36
270,1084.120481927711,0.39
271,1084.120481927711,0.23
272,1084.120481927711,0.09
273,1084.120481927711,0.41
274,1084.120481927711,0.16
275,1104.1967871485942,0.18
276,1104.1967871485942,0.2
277,1104.1967871485942,0.45
278,1104.1967871485942,0.24
279,1104.1967871485942,0.41
280,1124.2730923694778,0.1
281,1124.2730923694778,0.07
282,1124.2730923694778,0.22
283,1124.2730923694778,0.31
284,1124.2730923694778,0.38
285,1144.3493975903614,0.02
286,1144.3493975903614,0.44
287,1144.3493975903614,0.25
288,1144.3493975903614,0.36
289,1144.3493975903614,0.4
290,1164.425702811245,0.16
291,1164.425702811245,0.25
292,1164.425702811245,0.4
293,1164.425702811245,0.14
294,1164.425702811245,0.44
295,1184.5020080321285,0.28
296,1184.5020080321285,0.38
297,1184.5020080321285,0.01
298,1184.5020080321285,0.41
299,1184.5020080321285,0.32
300,1204.578313253012,0.44
301,1204.578313253012,0.41
302,1204.578313253012,0.29
303,1204.578313253012,0.29
304,1204.578313253012,0.13
305,1224.6546184738954,0.26
306,1224.6546184738954,0.36
307,1224.6546184738954,0.07
308,1224.6546184738954,0.43
309,1224.6546184738954,0.26
310,1244.730923694779,0.39
311,1244.730923694779,0.23
312,1244.730923694779,0.35
313,1244.730923694779,0.23
314,1244.730923694779,0.22
315,1264.8072289156626,0.19
316,1264.8072289156626,0.43
317,1264.8072289156626,0.08
318,1264.8072289156626,0.32
319,1264.8072289156626,0.34
320,1284.8835341365461,0.34
321,1284.8835341365461,0.35
322,1284.8835341365461,0.05
323,1284.8835341365461,0.29
324,1284.8835341365461,0.13
325,1304.9598393574297,0.38
326,1304.9598393574297,0.14
327,1304.9598393574297,0.26
328,1304.9598393574297,0.05
329,1304.9598393574297,0.4
330,1325.0361445783133,0.16
331,1325.0361445783133,0.0
332,1325.0361445783133,0.04
333,1325.0361445783133,0.22
334,1325.0361445783133,0.27
335,1345.1124497991968,0.22
336,1345.1124497991968,0.38
337,1345.1124497991968,0.05
338,1345.1124497991968,0.31
