,time,signal
73,281.06827309236945,0.21
74,281.06827309236945,0.2
75,301.144578313253,0.33
76,301.144578313253,0.34
77,301.144578313253,0.38
78,301.144578313253,0.39
79,301.144578313253,0.39
80,321.22088353413653,0.19
81,321.22088353413653,0.29
82,321.22088353413653,0.34
83,321.22088353413653,0.4
84,321.22088353413653,0.3
85,341.29718875502004,0.35
86,341.29718875502004,0.28
87,341.29718875502004,0.23
88,341.29718875502004,0.41
89,341.29718875502004,0.41
90,361.3734939759036,0.35
91,361.3734939759036,0.12
92,361.3734939759036,0.33
93,361.3734939759036,0.17
94,361.3734939759036,0.21
95,381.4497991967871,0.18
96,381.4497991967871,0.32
97,381.4497991967871,0.28
98,381.4497991967871,0.4
99,381.4497991967871,0.42
100,401.5261044176707,0.34
101,401.5261044176707,0.4
102,401.5261044176707,0.24
103,401.5261044176707,0.23
104,401.5261044176707,0.41
105,421.6024096385542,0.36
106,421.6024096385542,0.43
107,421.6024096385542,0.28
108,421.6024096385542,0.36
109,421.6024096385542,0.24
110,441.6787148594377,0.1
111,441.6787148594377,0.34
112,441.6787148594377,0.4
113,441.6787148594377,0.24
114,441.6787148594377,0.39
115,461.7550200803213,0.23
116,461.7550200803213,0.12
117,461.7550200803213,0.36
118,461.7550200803213,0.27
119,461.7550200803213,0.39
120,481.8313253012048,0.47
121,481.8313253012048,0.38
122,481.8313253012048,0.16
123,481.8313253012048,0.17
124,481.8313253012048,0.38
125,501.9076305220883,0.26
126,501.9076305220883,0.31
127,501.9076305220883,0.42
128,501.9076305220883,0.26
129,501.9076305220883,0.43
130,521.9839357429719,0.4
131,521.9839357429719,0.43
132,521.9839357429719,0.35
133,521.9839357429719,0.29
134,521.9839357429719,0.44
135,542.0602409638554,0.47
136,542.0602409638554,0.29
137,542.0602409638554,0.21
138,542.0602409638554,0.44
139,542.0602409638554,0.29
140,562.1365461847389,0.43
141,562.1365461847389,0.39
142,562.1365461847389,0.39
143,562.1365461847389,0.16
144,562.1365461847389,0.45
145,582.2128514056225,0.47
146,582.2128514056225,0.45
147,582.2128514056225,0.46
148,582.2128514056225,0.45
149,582.2128514056225,0.38
150,602.289156626506,0.5
151,602.289156626506,0.32
152,602.289156626506,0.36
153,602.289156626506,0.24
154,602.289156626506,0.48
155,622.3654618473895,0.5
156,622.3654618473895,0.46
157,622.3654618473895,0.31
158,622.3654618473895,0.13
159,622.3654618473895,0.27
160,642.4417670682731,0.41
161,642.4417670682731,0.48
162,642.4417670682731,0.37
163,642.4417670682731,0.21
164,642.4417670682731,0.47
165,662.5180722891566,0.47
166,662.5180722891566,0.23
167,662.5180722891566,0.29
168,662.5180722891566,0.45
169,662.5180722891566,0.51
170,682.5943775100401,0.43
171,682.5943775100401,0.47
172,682.5943775100401,0.36
173,682.5943775100401,0.36
174,682.5943775100401,0.48
175,702.6706827309237,0.4
176,702.6706827309237,0.37
177,702.6706827309237,0.38
178,702.6706827309237,0.52
179,702.6706827309237,0.45
180,722.7469879518072,0.18
181,722.7469879518072,0.28
182,722.7469879518072,0.45
183,722.7469879518072,0.36
184,722.7469879518072,0.28
185,742.8232931726907,0.36
186,742.8232931726907,0.26
187,742.8232931726907,0.44
188,742.8232931726907,0.51
189,742.8232931726907,0.49
190,762.8995983935743,0.35
191,762.8995983935743,0.52
192,762.8995983935743,0.38
193,762.8995983935743,0.53
194,762.8995983935743,0.51
195,782.9759036144578,0.44
196,782.9759036144578,0.44
197,782.9759036144578,0.43
198,782.9759036144578,0.31
199,782.9759036144578,0.45
200,803.0522088353414,0.48
201,803.0522088353414,0.23
202,803.0522088353414,0.36
203,803.0522088353414,0.34
204,803.0522088353414,0.36
205,823.1285140562248,0.28
206,823.1285140562248,0.51
207,823.1285140562248,0.55
208,823.1285140562248,0.2
209,823.1285140562248,0.46
210,843.2048192771084,0.55
211,843.2048192771084,0.52
212,843.2048192771084,0.42
213,843.2048192771084,0.46
214,843.2048192771084,0.44
215,863.281124497992,0.27
216,863.281124497992,0.54
217,863.281124497992,0.35
218,863.281124497992,0.51
219,863.281124497992,0.34
220,883.3574297188754,0.51
221,883.3574297188754,0.31
222,883.3574297188754,0.2
223,883.3574297188754,0.35
224,883.3574297188754,0.24
225,903.433734939759,0.51
226,903.433734939759,0.5
227,903.433734939759,0.37
228,903.433734939759,0.45
229,903.433734939759,0.42
230,923.5100401606426,0.38
231,923.5100401606426,0.49
232,923.5100401606426,0.58
233,923.5100401606426,0.55
234,923.5100401606426,0.36
235,943.586345381526,0.36
236,943.586345381526,0.51
237,943.586345381526,0.36
238,943.586345381526,0.58
239,943.586345381526,0.58
240,963.6626506024096,0.4
241,963.6626506024096,0.59
242,963.6626506024096,0.33
243,963.6626506024096,0.42
244,963.6626506024096,0.53
245,983.7389558232932,0.48
246,983.7389558232932,0.45
247,983.7389558232932,0.42
248,983.7389558232932,0.41
249,983.7389558232932,0.55
250,1003.8152610441766,0.41
251,1003.8152610441766,0.56
252,1003.8152610441766,0.58
253,1003.8152610441766,0.52
254,1003.8152610441766,0.53
255,1023.8915662650602,0.36
256,1023.8915662650602,0.35
257,1023.8915662650602,0.55
258,1023.8915662650602,0.33
259,1023.8915662650602,0.47
260,1043.9678714859438,0.36
261,1043.9678714859438,0.59
262,1043.9678714859438,0.57
263,1043.9678714859438,0.57
264,1043.9678714859438,0.53
265,1064.0441767068273,0.47
266,1064.0441767068273,0.6
267,1064.0441767068273,0.54
268,1064.0441767068273,0.46
269,1064.0441767068273,0.46
270,1084.120481927711,0.61
271,1084.120481927711,0.36
272,1084.120481927711,0.59
273,1084.120481927711,0.37
274,1084.120481927711,0.6
275,1104.1967871485942,0.6
276,1104.1967871485942,0.31
277,1104.1967871485942,0.43
278,1104.1967871485942,0.58
279,1104.1967871485942,0.33
280,1124.2730923694778,0.42
281,1124.2730923694778,0.54
282,1124.2730923694778,0.51
283,1124.2730923694778,0.45
284,1124.2730923694778,0.44
285,1144.3493975903614,0.37
286,1144.3493975903614,0.54
287,1144.3493975903614,0.56
288,1144.3493975903614,0.46
289,1144.3493975903614,0.46
290,1164.425702811245,0.62
291,1164.425702811245,0.59
292,1164.425702811245,0.33
293,1164.425702811245,0.43
