,x,y
490,2968.7070707070707,0.91
491,2968.7070707070707,0.78
492,2968.7070707070707,0.9
493,2968.7070707070707,0.94
494,2968.7070707070707,0.96
495,2999.0,0.92
496,2999.0,0.92
497,2999.0,0.86
498,2999.0,1.0
499,2999.0,0.96
500,3000.0,0.92
501,3000.0,0.92
502,3000.0,0.86
503,3000.0,1.0
504,3000.0,0.96
505,3020.0,0.92
506,3020.0,0.92
507,3020.0,0.86
508,3020.0,1.0
509,3020.0,0.96
510,3040.0,0.92
511,3040.0,0.92
512,3040.0,0.86
513,3040.0,1.0
514,3040.0,0.96
515,3060.0,0.92
516,3060.0,0.92
517,3060.0,0.86
518,3060.0,1.0
519,3060.0,0.96
520,3080.0,0.92
521,3080.0,0.92
522,3080.0,0.86
523,3080.0,1.0
524,3080.0,0.96
525,3100.0,0.92
526,3100.0,0.92
527,3100.0,0.86
528,3100.0,1.0
529,3100.0,0.96
530,3120.0,0.92
531,3120.0,0.92
532,3120.0,0.86
533,3120.0,1.0
534,3120.0,0.96
535,3140.0,0.92
536,3140.0,0.92
537,3140.0,0.86
538,3140.0,1.0
539,3140.0,0.96
540,3160.0,0.92
541,3160.0,0.92
542,3160.0,0.86
543,3160.0,1.0
544,3160.0,0.96
545,3180.0,0.92
546,3180.0,0.92
547,3180.0,0.86
548,3180.0,1.0
549,3180.0,0.96
550,3200.0,0.92
551,3200.0,0.92
552,3200.0,0.86
553,3200.0,1.0
554,3200.0,0.96
555,3220.0,0.92
556,3220.0,0.92
557,3220.0,0.86
558,3220.0,1.0
559,3220.0,0.96
560,3240.0,0.92
561,3240.0,0.92
562,3240.0,0.86
563,3240.0,1.0
564,3240.0,0.96
565,3260.0,0.92
566,3260.0,0.92
567,3260.0,0.86
568,3260.0,1.0
569,3260.0,0.96
570,3280.0,0.92
571,3280.0,0.92
572,3280.0,0.86
573,3280.0,1.0
574,3280.0,0.96
575,3300.0,0.92
576,3300.0,0.92
577,3300.0,0.86
578,3300.0,1.0
579,3300.0,0.96
580,3320.0,0.92
581,3320.0,0.92
582,3320.0,0.86
583,3320.0,1.0
584,3320.0,0.96
585,3340.0,0.92
586,3340.0,0.92
587,3340.0,0.86
588,3340.0,1.0
589,3340.0,0.96
590,3360.0,0.92
591,3360.0,0.92
592,3360.0,0.86
593,3360.0,1.0
594,3360.0,0.96
595,3380.0,0.92
596,3380.0,0.92
597,3380.0,0.86
598,3380.0,1.0
599,3380.0,0.96
600,3400.0,0.92
601,3400.0,0.92
602,3400.0,0.86
603,3400.0,1.0
604,3400.0,0.96
605,3420.0,0.92
606,3420.0,0.92
607,3420.0,0.86
608,3420.0,1.0
609,3420.0,0.96
610,3440.0,0.92
611,3440.0,0.92
612,3440.0,0.86
613,3440.0,1.0
614,3440.0,0.96
615,3460.0,0.92
616,3460.0,0.92
617,3460.0,0.86
618,3460.0,1.0
619,3460.0,0.96
620,3480.0,0.92
621,3480.0,0.92
622,3480.0,0.86
623,3480.0,1.0
624,3480.0,0.96
625,3500.0,0.92
626,3500.0,0.92
627,3500.0,0.86
