,time,signal
0,0.0,0.23
1,0.0,0.16
2,0.0,0.24
3,0.0,0.23
4,0.0,0.26
5,20.076305220883533,0.29
6,20.076305220883533,0.22
7,20.076305220883533,0.27
8,20.076305220883533,0.2
9,20.076305220883533,0.28
10,40.15261044176707,0.24
11,40.15261044176707,0.29
12,40.15261044176707,0.23
13,40.15261044176707,0.23
14,40.15261044176707,0.28
15,60.2289156626506,0.3
16,60.2289156626506,0.28
17,60.2289156626506,0.26
18,60.2289156626506,0.2
19,60.2289156626506,0.24
20,80.30522088353413,0.2
21,80.30522088353413,0.28
22,80.30522088353413,0.28
23,80.30522088353413,0.29
24,80.30522088353413,0.26
25,100.38152610441767,0.31
26,100.38152610441767,0.29
27,100.38152610441767,0.32
28,100.38152610441767,0.3
29,100.38152610441767,0.28
30,120.4578313253012,0.28
31,120.4578313253012,0.24
32,120.4578313253012,0.34
33,120.4578313253012,0.32
34,120.4578313253012,0.29
35,140.53413654618473,0.24
36,140.53413654618473,0.35
37,140.53413654618473,0.23
38,140.53413654618473,0.32
39,140.53413654618473,0.28
40,160.61044176706827,0.26
41,160.61044176706827,0.32
42,160.61044176706827,0.31
43,160.61044176706827,0.27
44,160.61044176706827,0.3
45,180.6867469879518,0.37
46,180.6867469879518,0.36
47,180.6867469879518,0.3
48,180.6867469879518,0.36
49,180.6867469879518,0.36
50,200.76305220883535,0.33
51,200.76305220883535,0.36
52,200.76305220883535,0.26
53,200.76305220883535,0.38
54,200.76305220883535,0.37
55,220.83935742971886,0.27
56,220.83935742971886,0.34
57,220.83935742971886,0.35
58,220.83935742971886,0.32
59,220.83935742971886,0.35
60,240.9156626506024,0.35
61,240.9156626506024,0.36
62,240.9156626506024,0.3
63,240.9156626506024,0.36
64,240.9156626506024,0.33
65,260.99196787148594,0.4
66,260.99196787148594,0.36
67,260.99196787148594,0.35
68,260.99196787148594,0.4
69,260.99196787148594,0.35
70,281.06827309236945,0.38
71,281.06827309236945,0.4
72,281.06827309236945,0.41
73,281.06827309236945,0.41
74,281.06827309236945,0.39
75,301.144578313253,0.36
76,301.144578313253,0.38
77,301.144578313253,0.36
78,301.144578313253,0.42
79,301.144578313253,0.38
80,321.22088353413653,0.41
81,321.22088353413653,0.43
82,321.22088353413653,0.41
83,321.22088353413653,0.34
84,321.22088353413653,0.41
85,341.29718875502004,0.35
86,341.29718875502004,0.39
87,341.29718875502004,0.37
88,341.29718875502004,0.34
89,341.29718875502004,0.36
90,361.3734939759036,0.43
91,361.3734939759036,0.42
92,361.3734939759036,0.41
93,361.3734939759036,0.43
94,361.3734939759036,0.37
95,381.4497991967871,0.39
96,381.4497991967871,0.42
97,381.4497991967871,0.45
98,381.4497991967871,0.41
99,381.4497991967871,0.36
100,401.5261044176707,0.44
101,401.5261044176707,0.46
102,401.5261044176707,0.4
103,401.5261044176707,0.41
104,401.5261044176707,0.37
105,421.6024096385542,0.46
106,421.6024096385542,0.43
107,421.6024096385542,0.46
108,421.6024096385542,0.47
109,421.6024096385542,0.43
110,441.6787148594377,0.36
111,441.6787148594377,0.4
112,441.6787148594377,0.42
113,441.6787148594377,0.47
114,441.6787148594377,0.36
115,461.7550200803213,0.44
116,461.7550200803213,0.44
117,461.7550200803213,0.47
118,461.7550200803213,0.45
119,461.7550200803213,0.46
120,481.8313253012048,0.37
121,481.8313253012048,0.46
122,481.8313253012048,0.47
123,481.8313253012048,0.45
124,481.8313253012048,0.49
125,501.9076305220883,0.48
126,501.9076305220883,0.44
127,501.9076305220883,0.44
128,501.9076305220883,0.39
129,501.9076305220883,0.44
130,521.9839357429719,0.46
131,521.9839357429719,0.49
132,521.9839357429719,0.44
133,521.9839357429719,0.5
134,521.9839357429719,0.45
135,542.0602409638554,0.41
136,542.0602409638554,0.39
137,542.0602409638554,0.45
138,542.0602409638554,0.49
139,542.0602409638554,0.49
140,562.1365461847389,0.48
141,562.1365461847389,0.49
142,562.1365461847389,0.43
143,562.1365461847389,0.51
144,562.1365461847389,0.51
145,582.2128514056225,0.48
146,582.2128514056225,0.45
147,582.2128514056225,0.46
148,582.2128514056225,0.51
149,582.2128514056225,0.46
150,602.289156626506,0.51
151,602.289156626506,0.54
152,602.289156626506,0.47
153,602.289156626506,0.52
154,602.289156626506,0.44
155,622.3654618473895,0.47
156,622.3654618473895,0.51
157,622.3654618473895,0.5
158,622.3654618473895,0.53
159,622.3654618473895,0.52
160,642.4417670682731,0.42
161,642.4417670682731,0.54
162,642.4417670682731,0.51
163,642.4417670682731,0.55
164,642.4417670682731,0.49
165,662.5180722891566,0.55
166,662.5180722891566,0.54
167,662.5180722891566,0.52
168,662.5180722891566,0.49
169,662.5180722891566,0.52
170,682.5943775100401,0.53
171,682.5943775100401,0.56
172,682.5943775100401,0.52
173,682.5943775100401,0.56
174,682.5943775100401,0.45
175,702.6706827309237,0.49
176,702.6706827309237,0.49
177,702.6706827309237,0.55
178,702.6706827309237,0.57
179,702.6706827309237,0.52
180,722.7469879518072,0.57
181,722.7469879518072,0.53
182,722.7469879518072,0.55
183,722.7469879518072,0.45
184,722.7469879518072,0.55
185,742.8232931726907,0.53
186,742.8232931726907,0.58
187,742.8232931726907,0.57
188,742.8232931726907,0.53
189,742.8232931726907,0.54
190,762.8995983935743,0.57
191,762.8995983935743,0.49
192,762.8995983935743,0.53
193,762.8995983935743,0.57
194,762.8995983935743,0.57
195,782.9759036144578,0.56
196,782.9759036144578,0.58
197,782.9759036144578,0.57
198,782.9759036144578,0.5
199,782.9759036144578,0.57
200,803.0522088353414,0.55
201,803.0522088353414,0.56
202,803.0522088353414,0.56
203,803.0522088353414,0.6
204,803.0522088353414,0.57
205,823.1285140562248,0.57
206,823.1285140562248,0.59
207,823.1285140562248,0.56
208,823.1285140562248,0.61
209,823.1285140562248,0.52
210,843.2048192771084,0.54
211,843.2048192771084,0.61
212,843.2048192771084,0.57
213,843.2048192771084,0.59
214,843.2048192771084,0.6
215,863.281124497992,0.6
216,863.281124497992,0.54
217,863.281124497992,0.59
218,863.281124497992,0.52
219,863.281124497992,0.61
220,883.3574297188754,0.6
221,883.3574297188754,0.62
222,883.3574297188754,0.52
223,883.3574297188754,0.57
224,883.3574297188754,0.62
225,903.433734939759,0.64
226,903.433734939759,0.58
227,903.433734939759,0.57
228,903.433734939759,0.56
229,903.433734939759,0.64
230,923.5100401606426,0.59
231,923.5100401606426,0.65
232,923.5100401606426,0.58
233,923.5100401606426,0.6
234,923.5100401606426,0.59
235,943.586345381526,0.65
236,943.586345381526,0.6
237,943.586345381526,0.6
238,943.586345381526,0.59
239,943.586345381526,0.59
240,963.6626506024096,0.53
241,963.6626506024096,0.66
242,963.6626506024096,0.63
243,963.6626506024096,0.64
244,963.6626506024096,0.56
245,983.7389558232932,0.63
246,983.7389558232932,0.63
247,983.7389558232932,0.63
248,983.7389558232932,0.64
249,983.7389558232932,0.64
250,1003.8152610441766,0.6
251,1003.8152610441766,0.63
