,Steps,ASR,method
265,4060,0.33,direct
266,4060,0.35,direct
267,4060,0.31,direct
268,4060,0.37,direct
269,4060,0.36,direct
270,4080,0.34,direct
271,4080,0.39,direct
272,4080,0.38,direct
273,4080,0.31,direct
274,4080,0.4,direct
275,4100,0.42,direct
276,4100,0.35,direct
277,4100,0.38,direct
278,4100,0.32,direct
279,4100,0.41,direct
280,4120,0.41,direct
281,4120,0.45,direct
282,4120,0.3,direct
283,4120,0.43,direct
284,4120,0.38,direct
285,4140,0.39,direct
286,4140,0.41,direct
287,4140,0.45,direct
288,4140,0.46,direct
289,4140,0.35,direct
290,4160,0.35,direct
291,4160,0.34,direct
292,4160,0.48,direct
293,4160,0.47,direct
294,4160,0.39,direct
295,4180,0.4,direct
296,4180,0.43,direct
297,4180,0.43,direct
298,4180,0.49,direct
299,4180,0.45,direct
300,4200,0.51,direct
301,4200,0.45,direct
302,4200,0.51,direct
303,4200,0.5,direct
304,4200,0.45,direct
305,4220,0.49,direct
306,4220,0.5,direct
307,4220,0.5,direct
308,4220,0.43,direct
309,4220,0.49,direct
310,4240,0.53,direct
311,4240,0.4,direct
312,4240,0.48,direct
313,4240,0.54,direct
314,4240,0.45,direct
315,4260,0.54,direct
316,4260,0.48,direct
317,4260,0.48,direct
318,4260,0.41,direct
319,4260,0.51,direct
320,4280,0.5,direct
321,4280,0.52,direct
322,4280,0.56,direct
323,4280,0.56,direct
324,4280,0.54,direct
325,4300,0.55,direct
326,4300,0.53,direct
327,4300,0.49,direct
328,4300,0.51,direct
329,4300,0.56,direct
330,4320,0.5,direct
331,4320,0.49,direct
332,4320,0.51,direct
333,4320,0.51,direct
334,4320,0.55,direct
335,4340,0.46,direct
336,4340,0.5,direct
337,4340,0.58,direct
338,4340,0.56,direct
339,4340,0.59,direct
340,4360,0.52,direct
341,4360,0.57,direct
342,4360,0.56,direct
343,4360,0.45,direct
344,4360,0.57,direct
345,4380,0.58,direct
346,4380,0.57,direct
347,4380,0.49,direct
348,4380,0.48,direct
349,4380,0.51,direct
350,4400,0.58,direct
351,4400,0.61,direct
352,4400,0.57,direct
353,4400,0.53,direct
354,4400,0.58,direct
355,4420,0.61,direct
356,4420,0.56,direct
357,4420,0.56,direct
358,4420,0.62,direct
359,4420,0.55,direct
360,4440,0.62,direct
361,4440,0.54,direct
362,4440,0.56,direct
363,4440,0.56,direct
364,4440,0.59,direct
365,4460,0.63,direct
366,4460,0.62,direct
367,4460,0.62,direct
368,4460,0.54,direct
369,4460,0.57,direct
370,4480,0.57,direct
371,4480,0.58,direct
372,4480,0.51,direct
373,4480,0.54,direct
374,4480,0.61,direct
375,4500,0.58,direct
376,4500,0.64,direct
377,4500,0.54,direct
378,4500,0.61,direct
379,4500,0.57,direct
380,4520,0.65,direct
381,4520,0.6,direct
382,4520,0.63,direct
383,4520,0.64,direct
384,4520,0.56,direct
385,4540,0.59,direct
386,4540,0.57,direct
387,4540,0.55,direct
388,4540,0.56,direct
389,4540,0.59,direct
390,4560,0.62,direct
391,4560,0.66,direct
392,4560,0.61,direct
393,4560,0.65,direct
394,4560,0.61,direct
395,4580,0.65,direct
396,4580,0.57,direct
397,4580,0.62,direct
398,4580,0.57,direct
399,4580,0.6,direct
400,4600,0.65,direct
401,4600,0.54,direct
402,4600,0.54,direct
403,4600,0.58,direct
404,4600,0.57,direct
405,4620,0.63,direct
406,4620,0.66,direct
407,4620,0.67,direct
408,4620,0.65,direct
409,4620,0.53,direct
410,4640,0.52,direct
411,4640,0.65,direct
412,4640,0.54,direct
413,4640,0.53,direct
414,4640,0.52,direct
415,4660,0.63,direct
416,4660,0.66,direct
417,4660,0.67,direct
418,4660,0.64,direct
419,4660,0.67,direct
420,4680,0.65,direct
421,4680,0.6,direct
422,4680,0.51,direct
423,4680,0.66,direct
424,4680,0.6,direct
425,4700,0.65,direct
426,4700,0.57,direct
427,4700,0.57,direct
428,4700,0.6,direct
429,4700,0.64,direct
430,4720,0.65,direct
431,4720,0.67,direct
432,4720,0.64,direct
433,4720,0.56,direct
434,4720,0.64,direct
435,4740,0.67,direct
436,4740,0.6,direct
437,4740,0.67,direct
438,4740,0.65,direct
439,4740,0.64,direct
440,4760,0.58,direct
441,4760,0.67,direct
442,4760,0.63,direct
443,4760,0.66,direct
444,4760,0.57,direct
445,4780,0.67,direct
446,4780,0.58,direct
447,4780,0.68,direct
448,4780,0.66,direct
449,4780,0.65,direct
450,4800,0.68,direct
451,4800,0.58,direct
452,4800,0.68,direct
453,4800,0.58,direct
454,4800,0.61,direct
455,4820,0.67,direct
456,4820,0.62,direct
457,4820,0.63,direct
458,4820,0.57,direct
459,4820,0.66,direct
460,4840,0.66,direct
461,4840,0.66,direct
462,4840,0.68,direct
463,4840,0.6,direct
464,4840,0.67,direct
465,4860,0.66,direct
466,4860,0.67,direct
467,4860,0.63,direct
468,4860,0.63,direct
469,4860,0.58,direct
470,4880,0.68,direct
471,4880,0.52,direct
472,4880,0.63,direct
473,4880,0.55,direct
474,4880,0.64,direct
475,4900,0.56,direct
476,4900,0.67,direct
477,4900,0.65,direct
478,4900,0.61,direct
479,4900,0.67,direct
480,4920,0.62,direct
481,4920,0.64,direct
482,4920,0.58,direct
483,4920,0.65,direct
484,4920,0.66,direct
485,4940,0.68,direct
486,4940,0.68,direct
487,4940,0.63,direct
488,4940,0.64,direct
489,4940,0.67,direct
490,4960,0.63,direct
491,4960,0.66,direct
492,4960,0.69,direct
493,4960,0.57,direct
494,4960,0.58,direct
495,4980,0.64,direct
496,4980,0.65,direct
497,4980,0.63,direct
498,4980,0.66,direct
499,4980,0.68,direct
500,0,0.23,bb
501,0,0.16,bb
502,0,0.24,bb
503,0,0.23,bb
504,0,0.26,bb
505,20.07630522,0.29,bb
506,20.07630522,0.22,bb
507,20.07630522,0.27,bb
508,20.07630522,0.2,bb
509,20.07630522,0.28,bb
510,40.15261044,0.24,bb
511,40.15261044,0.29,bb
512,40.15261044,0.23,bb
513,40.15261044,0.23,bb
514,40.15261044,0.28,bb
515,60.22891566,0.3,bb
516,60.22891566,0.28,bb
517,60.22891566,0.26,bb
518,60.22891566,0.2,bb
519,60.22891566,0.24,bb
520,80.30522088,0.2,bb
521,80.30522088,0.28,bb
522,80.30522088,0.28,bb
523,80.30522088,0.29,bb
524,80.30522088,0.26,bb
525,100.3815261,0.31,bb
526,100.3815261,0.29,bb
