,x,y
290,4160.0,0.77
291,4160.0,0.87
292,4160.0,0.77
293,4160.0,0.86
294,4160.0,0.78
295,4180.0,0.77
296,4180.0,0.89
297,4180.0,0.85
298,4180.0,0.82
299,4180.0,0.86
300,4200.0,0.83
301,4200.0,0.78
302,4200.0,0.8
303,4200.0,0.81
304,4200.0,0.89
305,4220.0,0.83
306,4220.0,0.85
307,4220.0,0.84
308,4220.0,0.85
309,4220.0,0.8
310,4240.0,0.78
311,4240.0,0.87
312,4240.0,0.79
313,4240.0,0.9
314,4240.0,0.84
315,4260.0,0.88
316,4260.0,0.82
317,4260.0,0.87
318,4260.0,0.91
319,4260.0,0.86
320,4280.0,0.84
321,4280.0,0.86
322,4280.0,0.88
323,4280.0,0.88
324,4280.0,0.81
325,4300.0,0.84
326,4300.0,0.87
327,4300.0,0.92
328,4300.0,0.86
329,4300.0,0.81
330,4320.0,0.85
331,4320.0,0.84
332,4320.0,0.93
333,4320.0,0.87
334,4320.0,0.9
335,4340.0,0.91
336,4340.0,0.93
337,4340.0,0.9
338,4340.0,0.92
339,4340.0,0.79
340,4360.0,0.92
341,4360.0,0.93
342,4360.0,0.85
343,4360.0,0.86
344,4360.0,0.93
345,4380.0,0.91
346,4380.0,0.87
347,4380.0,0.82
348,4380.0,0.93
349,4380.0,0.94
350,4400.0,0.94
351,4400.0,0.88
352,4400.0,0.83
353,4400.0,0.87
354,4400.0,0.93
355,4420.0,0.9
356,4420.0,0.88
357,4420.0,0.94
358,4420.0,0.92
359,4420.0,0.92
360,4440.0,0.91
361,4440.0,0.94
362,4440.0,0.85
363,4440.0,0.91
364,4440.0,0.83
365,4460.0,0.93
366,4460.0,0.87
367,4460.0,0.91
368,4460.0,0.91
369,4460.0,0.96
370,4480.0,0.97
371,4480.0,0.86
372,4480.0,0.95
373,4480.0,0.95
374,4480.0,0.94
375,4500.0,0.91
376,4500.0,0.95
377,4500.0,0.9
378,4500.0,0.89
379,4500.0,0.88
380,4520.0,0.96
381,4520.0,0.93
382,4520.0,0.86
383,4520.0,0.88
384,4520.0,0.97
385,4540.0,0.85
386,4540.0,0.95
387,4540.0,0.94
388,4540.0,0.98
389,4540.0,0.94
390,4560.0,0.97
391,4560.0,0.92
392,4560.0,0.91
393,4560.0,0.98
394,4560.0,0.94
395,4580.0,0.87
396,4580.0,0.92
397,4580.0,0.91
398,4580.0,0.96
399,4580.0,0.94
400,4600.0,0.94
401,4600.0,0.98
402,4600.0,0.93
403,4600.0,0.98
404,4600.0,0.99
405,4620.0,1.0
406,4620.0,0.9
407,4620.0,0.96
408,4620.0,0.99
409,4620.0,0.99
410,4640.0,0.95
411,4640.0,0.94
412,4640.0,0.96
413,4640.0,0.94
414,4640.0,0.96
415,4660.0,0.93
416,4660.0,0.99
417,4660.0,0.99
418,4660.0,0.95
419,4660.0,0.9
420,4680.0,0.99
421,4680.0,1.0
422,4680.0,0.97
423,4680.0,0.95
424,4680.0,0.99
425,4700.0,0.98
426,4700.0,0.94
427,4700.0,0.96
428,4700.0,0.98
429,4700.0,0.96
430,4720.0,0.98
431,4720.0,0.88
432,4720.0,0.94
433,4720.0,0.93
434,4720.0,0.98
435,4740.0,0.91
436,4740.0,0.99
437,4740.0,0.97
438,4740.0,0.96
439,4740.0,0.99
440,4760.0,0.99
441,4760.0,0.92
442,4760.0,1.0
443,4760.0,0.86
444,4760.0,0.96
445,4780.0,0.92
446,4780.0,0.98
447,4780.0,0.96
448,4780.0,0.96
449,4780.0,0.95
450,4800.0,0.97
451,4800.0,0.96
452,4800.0,0.96
453,4800.0,0.94
454,4800.0,0.99
455,4820.0,1.0
456,4820.0,1.0
457,4820.0,0.95
458,4820.0,0.91
459,4820.0,0.94
460,4840.0,0.97
461,4840.0,1.0
462,4840.0,0.97
463,4840.0,0.88
464,4840.0,0.97
465,4860.0,0.95
466,4860.0,0.91
467,4860.0,0.99
468,4860.0,0.93
469,4860.0,0.92
470,4880.0,1.0
471,4880.0,0.97
472,4880.0,0.93
473,4880.0,0.96
474,4880.0,0.98
475,4900.0,0.93
476,4900.0,0.95
477,4900.0,0.99
478,4900.0,0.89
479,4900.0,0.97
480,4920.0,0.91
481,4920.0,0.98
482,4920.0,0.94
483,4920.0,0.99
484,4920.0,0.97
485,4940.0,0.97
486,4940.0,0.93
487,4940.0,0.96
488,4940.0,0.95
489,4940.0,0.9
490,4960.0,0.95
491,4960.0,0.94
492,4960.0,0.95
493,4960.0,0.99
494,4960.0,0.88
495,4980.0,0.99
496,4980.0,0.98
497,4980.0,0.96
498,4980.0,0.92
499,4980.0,0.95
